,wallets,initiated_by_gr_participant,trx_gr_participants_during_round,trx_between_gr_participants,first_trx_d_round
0,0xd2602c7bdfc9f413974e944280bbfae275d1b1b6,False,False,False,False
1,0x9e184fa0b20ab043638c133b9825956ab37e1ee2,False,False,False,False
2,0xd854b808a6315d808bf66287550104b459e83375,False,False,False,True
3,0x6d6a5e2f37d6f0d75a66ebebb852adfcf2261137,False,False,False,False
4,0xe3f42515bc533f5a8072a10ff6275043f33be7ab,False,False,False,False
5,0xd9cc36d5085f60058f40032091999536be826329,False,False,False,False
6,0x4575ab97afa4a7b67395aaf3cb306784b0bebe04,False,False,False,False
7,0x62a85557c375960afedd6d5f8ba2e89423eaed7d,False,False,False,False
8,0x7531aa19407cc8d43c60f39e7cc4ad041c77e53b,False,False,False,False
9,0x58e711c0a4f28ce553ceb77a9fc0eefe55a473e4,False,False,False,False
10,0x79a555b77f09c3de481c4b412c14c25ea78c79b5,False,False,False,False
11,0x410d86e3a96930eefabd0543ece6035e1eb005ef,False,False,False,False
12,0xba1fdde3048aed5656af37873e77845781671d2c,False,False,False,False
13,0xc82efed6aba530876ed5bf63f44756b0a569c042,False,False,False,True
14,0x68df76ced01cd9bb502517232b6494879ec75c1a,False,False,False,False
15,0x26d12ab4385b884057165bd16a68ea68b1b3002c,False,False,False,False
16,0xa8307cb4746774f4ba5747e6f19d400da84d8c96,False,False,False,False
17,0x0a8f4e308b17f836eab6493f42e48ac07d30946d,False,False,False,False
18,0x229c74853021cf8786723d8ebf59d1e536fc8bba,False,False,False,False
19,0xbc09131200f273d5515325b3e8a4647ade5f42ed,False,False,False,False
20,0x9f2e4ad098db3fecee7d59bd14116bb73490d4de,False,False,False,False
21,0x867c37ac93a645cb3531a5d9dbfe3085dfafe640,False,False,False,False
22,0x377280d8d87415873da035d8d6d2ff4f0d9b9c54,False,False,False,False
23,0xaa3600788b72863ff51c8f0db5f10bb65fbfeab4,False,False,False,False
24,0x9d4f5de4367870a599b086ff2d7789544a85b6d7,False,False,False,False
25,0x080658c559e6db3eefd3943bd62fae28fed05830,False,False,False,False
26,0xc90cc1ced9fc030e7a3072eb3b409c8ab9450ccc,False,False,False,False
27,0xdbdc4f5dcc1e759c3c9ddf163fe805c27069f2ea,False,False,False,False
28,0x81a954d012311248d6518d27023464542ca68348,False,False,False,False
29,0xdd65c5e9d1d4124a4730a9bad9ba5784f9b1d1ec,False,False,False,False
30,0x9a6e2597ae0bbb349158c32a79db258f9a920960,False,False,False,False
31,0x50a150d22581b76b4de7e5b261af459290a97f1c,False,False,False,False
32,0x82dc08646613372a7cb5a6be119cd8db9ede4087,False,False,False,True
33,0x30db5a10f6ab9e08aee7e39fb824de213a8bc8ec,False,False,False,False
34,0x47a76df5f20b7116a33b9715bc73092fb3690b36,False,False,False,False
